question,answer
"Quora answer for the question: ""What are some less known facts about Mars?""","Its a cold inhospitable rock devoid of life. Moving there would be much worse than moving to Death Valley.
 And Elon is going to colonize Mars with billionaires that are afraid of little people. Lol.
"
"Quora answer for the question: ""What is issuing authority in a passport? What should I write in it?""","It's Regional Passport Office- Ministry of External Affair's India.
 U can check the issuing authority on ur passport. Its printed or stamped on first couple of Page's
"
"Quora answer for the question: ""What are the best wireless earphones under Rs 5,000?""","I had seen some bluetooth earphone and test them from which my choice is given
 The best bluetooth earphone in India is boult earbass,boat,samsung,vivo,oppo,on buget price
 These are earphone with best airbass good sound quality with better power backup on wired charging.
 They are long live bluetooth earphone
"
"Quora answer for the question: ""What are the must-have iPhone apps? Why?""",[LINKED_TEXT: https://techknowledge202122.blogspot.com/2023/04/www.iphone15.con.html] [URL: https://techknowledge202122.blogspot.com/2023/04/www.iphone15.con.html]
"Quora answer for the question: ""Which are the best over ear Bluetooth headphones under ₹5000?""","I had seen some bluetooth earphone and test them from which my choice is given
 The best bluetooth earphone in India is boult earbass,boat,samsung,vivo,oppo,on buget price
 These are earphone with best airbass good sound quality with better power backup on wired charging.
 They are long live bluetooth earphone
"
"Quora answer for the question: ""If you agree with Mitch McConnell and Paul Ryan that its time to cut Medicare, Medicaid, and Social Security because the deficit has skyrocketed, what percentage of cut to each program would you support?""","None. I'd expand the hell out of them and reform them to actually be worth something to the American people.
 Fuck the rich and fuck the corporations. They need to pay their fair share. The working class should not be funding it all. They're welcome to get as rich as they'd like to be, but they shouldn't be able to do it while paying almost nothing into the country that allows them to.
"
"Quora answer for the question: ""How do I transfer a Word document to a PDF?""","Hi Yes, so many ways..
 For example ilovePDF search this from Google..if you are interested than you can send me file i can convert the file into pdf.. just click this link
 https://www.fiverr.com/s2/13acbcec49
"
"Quora answer for the question: ""What are the best restaurants to try when visiting Bengaluru, Karnataka, India? What should you try while you're there?""","In Bangalore all restaurants are good at delicious foods. Empire, Tabala, Kasipu, 3b’s, Barbque Nation, Kritunga etc., I suggest these first
"
"Quora answer for the question: ""How often is a calculator used in pure math?""","Roughly never. It’s quite rare that I have a task that would be best resolved by computation, and if I do, my laptop together with a decent programming language is the superior choice all around. Some mathematicians have more use for coding; many have substantially less. I have yet to meet a mathematician that carried around a calculator with them, though.
"
"Quora answer for the question: ""What were German Emperor Frederick II’s influences on the World War?""","If you talk about Frederick II the Great, king of Prussia, his influence was zero. He passed 1786, 128 years before the outbreak of the First World War.
"
"Quora answer for the question: ""How well guarded are National Guard armory’s? With all the riots and looting going on, could they become targets for people looking for weapons?""","In possible high risk areas, the weapons have already been removed and taken to another place. Same thing for any military valuable gear or secret papers of any kind.
 If there is a NG armory in Kenosha, that building was cleaned out real fast almost as soon as the riots and looting began.
"
"Quora answer for the question: ""How do I cut a half-circle in wood? I want to make a marble track from my wood.""","How about this. Use a 1/8 inch round over in a router. Then you can freehand it and come up with an amazing design.
"
"Quora answer for the question: ""I got unauthorized administrative CMD on my school computer, what can I do and should I be worried?""","This “unauthorized” administrator cmd is something I wouldn't worry about because even though you see it, you cannot use it. It will want an admin password which you do not have. It's an app that cannot be removed because it's needed if an administrator has to fix your computer.
 It's authorized to be there, you just aren't authorized to use it.
"
"Quora answer for the question: ""My partner of one month doesn’t like my therapy dog of 10 years. What should I do?""","You seriously need to immediately consider rehoming…
 Your therapy dog does not need to deal with that…
 So revoke your partner as soon as possible.
"
"Quora answer for the question: ""What is the best love story people can come up with in two sentences?""","He : Tell me a secret that you never shared with anyone.
 *
 The feelings I’ve for you, she muttered.
Ciaó
 [LINKED_TEXT: Nilesh Srivastav] [URL: https://www.quora.com/profile/Nilesh-Srivastav-7]
"
"Quora answer for the question: ""Do Westerners find it strange that Eastern countries that are modernized in technology, such as India, Pakistan, Singapore, China, Korea, Japan, etc. still have concepts of obedience to elders, family honor, social conformity and ancient tradition?""","Family is also important in the West
 Having lived in China for a long time I found that to be bullshizzle
 Some people are old fashioned, some people are modern. I find the old fashioned people who won't get married to someone with an unlucky name or marry someone unsuitable so that their dad can get some guangxi weird, but I find lots of English people weird as well
"
"Quora answer for the question: ""Are online schools worth it?""","At IVS, you can choose any of our programs for the PICK 6 program or Foundation program where one can choose a series of subjects according to their preference. At IVS, you can study at your own pace and time to suit your schedule
"
"Quora answer for the question: ""Should I repair my own rental properties or hire a contractor?""","I don’t know… are you good with your hands? Is it just cosmetic? It’s usually best to do it yourself if you know what you are doing, and have the time.
"
"Quora answer for the question: ""What’s going on with all the fires in Russia? Is this sabotage? Ukrainian special forces? Something else?""","I have read that the local authorities have included it was sabotage. It is difficult to know who the saboteurs are. It is not unreasonable to believe that there are Russians who see the folly in this insane war. We don’t know but they have occurred all over the nation of Russia. Hard to see the point of “false flag” operations. That doesn’t seem likely or make any sense.
"
